id,__run_id,__done,msg_type,msg_interval,msg_size,exec_time,cli
2730,run_209_repetition_7,DONE,Float64,0.5,3,120,2
2732,run_211_repetition_7,DONE,Float64,1.0,1,120,2
2734,run_213_repetition_7,DONE,Float64,1.0,2,120,2
2736,run_215_repetition_7,DONE,Float64,1.0,3,120,2
2738,run_217_repetition_7,DONE,Float32,0.1,1,120,2
2740,run_219_repetition_7,DONE,Float32,0.1,2,120,2
2742,run_221_repetition_7,DONE,Float32,0.1,3,120,2
2744,run_223_repetition_7,DONE,Float32,0.2,1,120,2
2746,run_225_repetition_7,DONE,Float32,0.2,2,120,2
2748,run_227_repetition_7,DONE,Float32,0.2,3,120,2
2750,run_229_repetition_7,DONE,Float32,0.5,1,120,2
2752,run_231_repetition_7,DONE,Float32,0.5,2,120,2
2754,run_233_repetition_7,DONE,Float32,0.5,3,120,2
2756,run_235_repetition_7,DONE,Float32,1.0,1,120,2
2758,run_237_repetition_7,DONE,Float32,1.0,2,120,2
2760,run_239_repetition_7,DONE,Float32,1.0,3,120,2
2762,run_241_repetition_7,TODO,Vector3Stamped,0.1,1,120,2
2764,run_243_repetition_7,TODO,Vector3Stamped,0.1,2,120,2
2766,run_245_repetition_7,TODO,Vector3Stamped,0.1,3,120,2
2768,run_247_repetition_7,TODO,Vector3Stamped,0.2,1,120,2
2770,run_249_repetition_7,TODO,Vector3Stamped,0.2,2,120,2
2772,run_251_repetition_7,TODO,Vector3Stamped,0.2,3,120,2
2774,run_253_repetition_7,TODO,Vector3Stamped,0.5,1,120,2
2776,run_255_repetition_7,TODO,Vector3Stamped,0.5,2,120,2
2778,run_257_repetition_7,TODO,Vector3Stamped,0.5,3,120,2
2780,run_259_repetition_7,TODO,Vector3Stamped,1.0,1,120,2
2782,run_261_repetition_7,TODO,Vector3Stamped,1.0,2,120,2
2784,run_263_repetition_7,TODO,Vector3Stamped,1.0,3,120,2
2785,run_264_repetition_7,DONE,Float64MultiArray,0.1,1,120,1
2786,run_265_repetition_7,DONE,Float64MultiArray,0.1,1,120,2
2787,run_266_repetition_7,DONE,Float64MultiArray,0.1,2,120,1
2788,run_267_repetition_7,DONE,Float64MultiArray,0.1,2,120,2
2789,run_268_repetition_7,DONE,Float64MultiArray,0.1,3,120,1
2790,run_269_repetition_7,DONE,Float64MultiArray,0.1,3,120,2
2791,run_270_repetition_7,DONE,Float64MultiArray,0.2,1,120,1
2792,run_271_repetition_7,DONE,Float64MultiArray,0.2,1,120,2
2793,run_272_repetition_7,DONE,Float64MultiArray,0.2,2,120,1
2794,run_273_repetition_7,DONE,Float64MultiArray,0.2,2,120,2
2795,run_274_repetition_7,DONE,Float64MultiArray,0.2,3,120,1
2796,run_275_repetition_7,DONE,Float64MultiArray,0.2,3,120,2
2797,run_276_repetition_7,DONE,Float64MultiArray,0.5,1,120,1
2798,run_277_repetition_7,DONE,Float64MultiArray,0.5,1,120,2
2799,run_278_repetition_7,DONE,Float64MultiArray,0.5,2,120,1
2800,run_279_repetition_7,DONE,Float64MultiArray,0.5,2,120,2
2801,run_280_repetition_7,DONE,Float64MultiArray,0.5,3,120,1
2802,run_281_repetition_7,DONE,Float64MultiArray,0.5,3,120,2
2803,run_282_repetition_7,DONE,Float64MultiArray,1.0,1,120,1
2804,run_283_repetition_7,DONE,Float64MultiArray,1.0,1,120,2
2805,run_284_repetition_7,DONE,Float64MultiArray,1.0,2,120,1
2806,run_285_repetition_7,DONE,Float64MultiArray,1.0,2,120,2
2807,run_286_repetition_7,DONE,Float64MultiArray,1.0,3,120,1
2808,run_287_repetition_7,DONE,Float64MultiArray,1.0,3,120,2
2809,run_288_repetition_7,TODO,TwistStamped,0.1,1,120,1
2810,run_289_repetition_7,TODO,TwistStamped,0.1,1,120,2
2811,run_290_repetition_7,TODO,TwistStamped,0.1,2,120,1
2812,run_291_repetition_7,TODO,TwistStamped,0.1,2,120,2
2813,run_292_repetition_7,TODO,TwistStamped,0.1,3,120,1
2814,run_293_repetition_7,TODO,TwistStamped,0.1,3,120,2
2815,run_294_repetition_7,TODO,TwistStamped,0.2,1,120,1
2816,run_295_repetition_7,TODO,TwistStamped,0.2,1,120,2
2817,run_296_repetition_7,TODO,TwistStamped,0.2,2,120,1
2818,run_297_repetition_7,TODO,TwistStamped,0.2,2,120,2
2819,run_298_repetition_7,TODO,TwistStamped,0.2,3,120,1
2820,run_299_repetition_7,TODO,TwistStamped,0.2,3,120,2
2821,run_300_repetition_7,TODO,TwistStamped,0.5,1,120,1
2822,run_301_repetition_7,TODO,TwistStamped,0.5,1,120,2
2823,run_302_repetition_7,TODO,TwistStamped,0.5,2,120,1
2824,run_303_repetition_7,TODO,TwistStamped,0.5,2,120,2
2825,run_304_repetition_7,TODO,TwistStamped,0.5,3,120,1
2826,run_305_repetition_7,TODO,TwistStamped,0.5,3,120,2
2827,run_306_repetition_7,TODO,TwistStamped,1.0,1,120,1
2828,run_307_repetition_7,TODO,TwistStamped,1.0,1,120,2
2829,run_308_repetition_7,TODO,TwistStamped,1.0,2,120,1
2830,run_309_repetition_7,TODO,TwistStamped,1.0,2,120,2
2831,run_310_repetition_7,TODO,TwistStamped,1.0,3,120,1
2832,run_311_repetition_7,TODO,TwistStamped,1.0,3,120,2
2833,run_312_repetition_7,DONE,PoseWithCovarianceStamped,0.1,1,120,1
2834,run_313_repetition_7,DONE,PoseWithCovarianceStamped,0.1,1,120,2
2835,run_314_repetition_7,DONE,PoseWithCovarianceStamped,0.1,2,120,1
2836,run_315_repetition_7,DONE,PoseWithCovarianceStamped,0.1,2,120,2
2837,run_316_repetition_7,DONE,PoseWithCovarianceStamped,0.1,3,120,1
2838,run_317_repetition_7,DONE,PoseWithCovarianceStamped,0.1,3,120,2
2839,run_318_repetition_7,DONE,PoseWithCovarianceStamped,0.2,1,120,1
2840,run_319_repetition_7,DONE,PoseWithCovarianceStamped,0.2,1,120,2
2841,run_320_repetition_7,DONE,PoseWithCovarianceStamped,0.2,2,120,1
2842,run_321_repetition_7,DONE,PoseWithCovarianceStamped,0.2,2,120,2
2843,run_322_repetition_7,DONE,PoseWithCovarianceStamped,0.2,3,120,1
2844,run_323_repetition_7,DONE,PoseWithCovarianceStamped,0.2,3,120,2
2845,run_324_repetition_7,DONE,PoseWithCovarianceStamped,0.5,1,120,1
